"Statistic Label","Month","Airports in Ireland","Country","Direction","Flight Type","UNIT","VALUE"
"Passengers","2023 January","Dublin","Eygpt","Departure","Scheduled","Thousand","1.4"
"Passengers","2023 January","Dublin","Morocco","Arrival","Scheduled","Thousand","3.5"
"Passengers","2023 January","Dublin","Morocco","Departure","Scheduled","Thousand","3.3"
"Passengers","2023 January","Dublin","Tunisia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Tunisia","Departure","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Other Africa (6)","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Other Africa (6)","Departure","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Asia (8)","Arrival","Scheduled","Thousand","40.1"
"Passengers","2023 January","Dublin","Asia (8)","Departure","Scheduled","Thousand","39.7"
"Passengers","2023 January","Dublin","Bahrain","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Bahrain","Departure","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Israel","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Israel","Departure","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","United Arab Emirates","Arrival","Scheduled","Thousand","28.1"
"Passengers","2023 January","Dublin","United Arab Emirates","Departure","Scheduled","Thousand","27.8"
"Passengers","2023 January","Dublin","Other Asian countries (4)","Arrival","Scheduled","Thousand","12.1"
"Passengers","2023 January","Dublin","Other Asian countries (4)","Departure","Scheduled","Thousand","11.9"
"Passengers","2023 January","Dublin","Oceania and Polar regions (1)","Arrival","Scheduled","Thousand","0"
"Passengers","2023 January","Dublin","Oceania and Polar regions (1)","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","All Countries","Arrival","Scheduled","Thousand","1006.3"
"Passengers","2023 February","Dublin","All Countries","Departure","Scheduled","Thousand","994"
"Passengers","2023 February","Dublin","Ireland (domestic)","Arrival","Scheduled","Thousand","6.2"
"Passengers","2023 February","Dublin","Ireland (domestic)","Departure","Scheduled","Thousand","4.7"
"Passengers","2023 February","Dublin","Austria","Arrival","Scheduled","Thousand","8.6"
"Passengers","2023 February","Dublin","Austria","Departure","Scheduled","Thousand","8.4"
"Passengers","2023 February","Dublin","Belgium","Arrival","Scheduled","Thousand","17.1"
"Passengers","2023 February","Dublin","Belgium","Departure","Scheduled","Thousand","16.5"
"Passengers","2023 February","Dublin","Bulgaria","Arrival","Scheduled","Thousand","5.2"
"Passengers","2023 February","Dublin","Bulgaria","Departure","Scheduled","Thousand","5.1"
"Passengers","2023 February","Dublin","Croatia","Arrival","Scheduled","Thousand","2.2"
"Passengers","2023 February","Dublin","Croatia","Departure","Scheduled","Thousand","2.2"
"Passengers","2023 February","Dublin","Cyprus","Arrival","Scheduled","Thousand","0.6"
"Passengers","2023 February","Dublin","Cyprus","Departure","Scheduled","Thousand","0.7"
"Passengers","2023 February","Dublin","Czechia","Arrival","Scheduled","Thousand","7.3"
"Passengers","2023 February","Dublin","Czechia","Departure","Scheduled","Thousand","7.2"
"Passengers","2023 February","Dublin","Denmark","Arrival","Scheduled","Thousand","8.5"
"Passengers","2023 February","Dublin","Denmark","Departure","Scheduled","Thousand","8.7"
"Passengers","2023 February","Dublin","Estonia","Arrival","Scheduled","Thousand","1.3"
"Passengers","2023 February","Dublin","Estonia","Departure","Scheduled","Thousand","1.3"
"Passengers","2023 February","Dublin","Finland","Arrival","Scheduled","Thousand","4.2"
"Passengers","2023 February","Dublin","Finland","Departure","Scheduled","Thousand","3.9"
"Passengers","2023 February","Dublin","France","Arrival","Scheduled","Thousand","69.1"
"Passengers","2023 February","Dublin","France","Departure","Scheduled","Thousand","66.9"
"Passengers","2023 February","Dublin","Germany","Arrival","Scheduled","Thousand","59.7"
"Passengers","2023 February","Dublin","Germany","Departure","Scheduled","Thousand","58.7"
"Passengers","2023 February","Dublin","Greece","Arrival","Scheduled","Thousand","1.4"
"Passengers","2023 February","Dublin","Greece","Departure","Scheduled","Thousand","1.4"
"Passengers","2023 February","Dublin","Hungary","Arrival","Scheduled","Thousand","7"
"Passengers","2023 February","Dublin","Hungary","Departure","Scheduled","Thousand","7.1"
"Passengers","2023 February","Dublin","Italy","Arrival","Scheduled","Thousand","49.8"
"Passengers","2023 February","Dublin","Italy","Departure","Scheduled","Thousand","50.4"
"Passengers","2023 February","Dublin","Latvia","Arrival","Scheduled","Thousand","3.7"
"Passengers","2023 February","Dublin","Latvia","Departure","Scheduled","Thousand","3.6"
"Passengers","2023 February","Dublin","Lithuania","Arrival","Scheduled","Thousand","8.5"
"Passengers","2023 February","Dublin","Lithuania","Departure","Scheduled","Thousand","8.5"
"Passengers","2023 February","Dublin","Luxembourg","Arrival","Scheduled","Thousand","3.5"
"Passengers","2023 February","Dublin","Luxembourg","Departure","Scheduled","Thousand","3.5"
"Passengers","2023 February","Dublin","Malta","Arrival","Scheduled","Thousand","2.1"
"Passengers","2023 February","Dublin","Malta","Departure","Scheduled","Thousand","2.1"
"Passengers","2023 February","Dublin","Netherlands","Arrival","Scheduled","Thousand","44.3"
"Passengers","2023 February","Dublin","Netherlands","Departure","Scheduled","Thousand","41.3"
"Passengers","2023 February","Dublin","Poland","Arrival","Scheduled","Thousand","33.6"
"Passengers","2023 February","Dublin","Poland","Departure","Scheduled","Thousand","33"
"Passengers","2023 February","Dublin","Portugal","Arrival","Scheduled","Thousand","30.5"
"Passengers","2023 February","Dublin","Portugal","Departure","Scheduled","Thousand","32"
"Passengers","2023 February","Dublin","Romania","Arrival","Scheduled","Thousand","12.3"
"Passengers","2023 February","Dublin","Romania","Departure","Scheduled","Thousand","11.1"
"Passengers","2023 February","Dublin","Slovakia","Arrival","Scheduled","Thousand","4.3"
"Passengers","2023 February","Dublin","Slovakia","Departure","Scheduled","Thousand","4.1"
"Passengers","2023 February","Dublin","Slovenia","Arrival","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Slovenia","Departure","Scheduled","Thousand","0"
"Passengers","2023 February","Dublin","Spain","Arrival","Scheduled","Thousand","75.9"
"Passengers","2023 February","Dublin","Spain","Departure","Scheduled","Thousand","76.6"
"Passengers","2023 February","Dublin","Canary Islands","Arrival","Scheduled","Thousand","37.2"
"Passengers","2023 February","Dublin","Canary Islands","Departure","Scheduled","Thousand","36.7"
"Passengers","2023 February","Dublin","Sweden","Arrival","Scheduled","Thousand","3.3"
"Passengers","2023 February","Dublin","Sweden","Departure","Scheduled","Thousand","3.3"
"Passengers","2023 February","Dublin","EU27 excl Ireland 2020","Arrival","Scheduled","Thousand","501.3"
"Passengers","2023 February","Dublin","EU27 excl Ireland 2020","Departure","Scheduled","Thousand","494.6"
"Passengers","2023 February","Dublin","United Kingdom (1)","Arrival","Scheduled","Thousand","347.3"
"Passengers","2023 February","Dublin","United Kingdom (1)","Departure","Scheduled","Thousand","345.8"
"Passengers","2023 February","Dublin","England","Arrival","Scheduled","Thousand","298.6"
"Passengers","2023 February","Dublin","England","Departure","Scheduled","Thousand","297.9"
"Passengers","2023 February","Dublin","Northern Ireland","Arrival","Scheduled","Thousand","1.2"
